image_id,question,answer,options
81EVgVhd48L,What is the shoe's color?,Blue,"['Blue', 'Red', 'Green', 'Yellow']"
81EVgVhd48L,What type of closure?,,"['None', 'Laces', 'Buckle', 'Velcro']"
81EVgVhd48L,What sole color?,White,"['White', 'Black', 'Blue', 'Brown']"
81EVnAml05L,What shape is prominent?,Heart,"['Heart', 'Circle', 'Square', 'Triangle']"
81EVnAml05L,What color is the heart?,Red,"['Red', 'Blue', 'Green', 'Yellow']"
81EVnAml05L,How many red shapes?,Two,"['Two', 'One', 'Three', 'Four']"
81EW3S-oq8L,What is the item made of?,Gold,"['Gold', 'Silver', 'Plastic', 'Metal']"
81EW3S-oq8L,What shape is the central gem?,Oval,"['Oval', 'Square', 'Round', 'Triangle']"
81EW3S-oq8L,What color is the gem?,Blue,"['Blue', 'Black', 'Gold', 'White']"
81EVDagJXBL,What shape is the back?,Curved,"['Curved', 'Square', 'Pointed', 'Angled']"
81EVDagJXBL,What is the seat covering?,Fabric,"['Fabric', 'Wood', 'Metal', 'Plastic']"
81EVDagJXBL,How many legs are visible?,Three,"['Three', 'Four', 'Two', 'One']"
81EOrJ0V-4L,What color is the bed?,Beige,"['Beige', 'Blue', 'Red', 'Green']"
81EOrJ0V-4L,What is on the nightstand?,Lamp,"['Lamp', 'Book', 'Vase', 'Phone']"
81EOrJ0V-4L,What type of item is this?,Bedding,"['Bedding', 'Furniture', 'Clothing', 'Decoration']"
81EOgm7Z7hL,What is the primary color?,Black,"['Black', 'White', 'Blue', 'Red']"
81EOgm7Z7hL,What material is it?,Metal,"['Metal', 'Glass', 'Plastic', 'Wood']"
81EOgm7Z7hL,What is the object's shape?,Rectangular,"['Rectangular', 'Round', 'Square', 'Triangular']"
81EHLflt8LL,What shape is the pattern?,Oval,"['Oval', 'Triangle', 'Square', 'Circle']"
81EHLflt8LL,What is the primary color?,Black,"['Black', 'Blue', 'Red', 'Green']"
81EHLflt8LL,What kind of object is this?,Phone,"['Phone', 'Book', 'Bag', 'Bottle']"
81EHY35MQdL,What color is the container?,Black,"['Black', 'White', 'Blue', 'Yellow']"
81EHY35MQdL,What is contained within?,Blend,"['Blend', 'Powder', 'Liquid', 'Capsules']"
81EHY35MQdL,What is the item type?,Protein,"['Protein', 'Water', 'Supplements', 'Food']"
81EHjvfadDL,What is the background?,Sparkly,"['Sparkly', 'Plain', 'Matte', 'Leather']"
81EHjvfadDL,What word is written?,Queen,"['Queen', 'King', 'Princess', 'Ruler']"
81EHjvfadDL,What's the color?,Red,"['Red', 'Blue', 'Black', 'Green']"
81EHuk4zTkL,What is the spool's color?,Black,"['Black', 'White', 'Red', 'Blue']"
81EHuk4zTkL,What's on the spool?,Filament,"['Filament', 'Plastic', 'Metal', 'Paper']"
81EHuk4zTkL,What brand is printed?,Amazonbasics,"['Amazonbasics', 'Generic', 'Ender', 'Creality']"
81EHyHEFAbL,What is the seat filled with?,Leather,"['Metal', 'Fabric', 'Leather', 'Wood']"
81EHyHEFAbL,What shape does the seat form?,Square,"['Round', 'Rectangular', 'Square', 'Triangle']"
81EHyHEFAbL,What is the item's color?,Grey,"['Blue', 'Red', 'Grey', 'Green']"
81EH8-p9TVL,What color is the lid?,Blue,"['Blue', 'Red', 'Green', 'Yellow']"
81EH8-p9TVL,What food is pictured?,Butter,"['Butter', 'Jam', 'Bread', 'Yogurt']"
81EH8-p9TVL,What is the item name?,Happy,"['Happy', 'Sad', 'Angry', 'Calm']"
81EI-DjKACL,What is the cutlery's color?,Silver,"['Silver', 'Gold', 'Black', 'Bronze']"
81EI-DjKACL,Which item has tines?,Fork,"['Fork', 'Spoon', 'Knife', 'Bowl']"
81EI-DjKACL,How many spoons are visible?,Two,"['Two', 'Three', 'One', 'Four']"
81EIH6VzXhL,What is the color?,Gold,"['Gold', 'Blue', 'Red', 'Green']"
81EIH6VzXhL,What is sparkling?,Case,"['Case', 'Wall', 'Screen', 'Table']"
81EIH6VzXhL,Is it sparkly?,Yes,"['Yes', 'No', 'Maybe', 'Perhaps']"
81EIP2Jg1lL,What closes the footwear?,Laces,"['Laces', 'Buckle', 'Zipper', 'Velcro']"
81EIP2Jg1lL,What is the product material?,Suede,"['Suede', 'Leather', 'Canvas', 'Plastic']"
81EIP2Jg1lL,What sole is the shoe?,Flat,"['Flat', 'Wedge', 'Block', 'Stiletto']"
81EIbNj1g5L,What is prominent color?,Green,"['Green', 'Red', 'Yellow', 'Blue']"
81EIbNj1g5L,What's the item?,Case,"['Case', 'Wallet', 'Charger', 'Screen']"
81EIbNj1g5L,What's on item?,Art,"['Art', 'Logo', 'Text', 'None']"
81EId7Pb0tL,What shape is the tabletop?,Oval,"['Oval', 'Square', 'Circle', 'Rectangle']"
81EId7Pb0tL,How many legs does the table have?,Three,"['Three', 'Four', 'Five', 'Two']"
81EId7Pb0tL,What is the table made of?,Wood,"['Wood', 'Metal', 'Glass', 'Plastic']"
81EIepys7ZL,What shade is it?,Black,"['Black', 'Blue', 'Green', 'Red']"
81EIepys7ZL,What kind of product is it?,Bag,"['Bag', 'Shoes', 'Dress', 'Hat']"
81EIepys7ZL,What kind of handle is there?,Strap,"['Strap', 'Chain', 'Ring', 'None']"
81EI0h5qM2L,What item is displayed?,Armchair,"['Armchair', 'Sofa', 'Bed', 'Table']"
81EI0h5qM2L,What is the chair's shade?,Beige,"['Beige', 'Blue', 'Red', 'Green']"
81EI0h5qM2L,What is its basic shape?,Square,"['Square', 'Round', 'Oval', 'Triangle']"
81EGjJExyIL,What is the object's main color?,Gold,"['Gold', 'Silver', 'Black', 'White']"
81EGjJExyIL,What does the object have?,Glitter,"['Glitter', 'Velvet', 'Leather', 'Lace']"
81EGjJExyIL,What type of object is this?,Case,"['Case', 'Phone', 'Wallet', 'Charger']"
81EFBbH0OVL,What color predominates?,Red,"['Red', 'Blue', 'Green', 'Yellow']"
81EFBbH0OVL,What item is pictured?,Case,"['Case', 'Phone', 'Wallet', 'Tablet']"
81EFBbH0OVL,What material isn't present?,Metal,"['Metal', 'Paint', 'Ink', 'Color']"
81EFGnTrsBL,What color are the flowers?,Purple,"['Purple', 'Green', 'Yellow', 'Blue']"
81EFGnTrsBL,What is pictured below tree?,Flowers,"['Flowers', 'Road', 'Sky', 'Grass']"
81EFGnTrsBL,How many trees are present?,One,"['One', 'Two', 'Three', 'None']"
81EFIJoawoL,What are these?,Shoes,"['Shoes', 'Shirt', 'Pants', 'Dress']"
81EFIJoawoL,What color are laces?,Pink,"['Pink', 'White', 'Black', 'Green']"
81EFIJoawoL,What is brand name?,Symactive,"['Symactive', 'Nike', 'Adidas', 'Reebok']"
81EFO8OVSvL,What footwear style is shown?,Boot,"['Boot', 'Sneaker', 'Sandal', 'Loafer']"
81EFO8OVSvL,What is the shoe's color?,Black,"['Black', 'Brown', 'White', 'Gray']"
81EFO8OVSvL,How many shoes are present?,One,"['One', 'Two', 'Zero', 'Three']"
81EFhwQ49BL,What is the item?,Case,"['Case', 'Phone', 'Cover', 'Tablet']"
81EFhwQ49BL,What is the predominant color?,Orange,"['Orange', 'Blue', 'Yellow', 'Pink']"
81EFhwQ49BL,What pattern is visible?,Abstract,"['Abstract', 'Floral', 'Striped', 'Solid']"
81EFwj5veuL,What is the product type?,Shoe,"['Shoe', 'Belt', 'Bag', 'Hat']"
81EFwj5veuL,What is the color of the shoe?,Brown,"['Brown', 'Blue', 'Black', 'Green']"
81EFwj5veuL,What is the item shown?,Shoe,"['Shoe', 'Coat', 'Hat', 'Tie']"
81EH0y2+IxL,What color is the item?,Brown,"['Brown', 'Blue', 'Green', 'Red']"
81EH0y2+IxL,What is its shape?,Square,"['Square', 'Round', 'Triangle', 'Oval']"
81EH0y2+IxL,How many sides does it have?,Four,"['Four', 'Three', 'Five', 'Six']"
81EG-+7JIDL,What are these?,Tortillas,"['Bread', 'Cookies', 'Tortillas', 'Crackers']"
81EG-+7JIDL,What is the tortilla?,Multigrain,"['Corn', 'Multigrain', 'Wheat', 'Oats']"
81EG-+7JIDL,What is the brand?,Organic,"['Regular', 'Natural', 'Gluten-free', 'Organic']"
81EG3L0c7FL,What fruit is pictured?,Strawberry,"['Strawberry', 'Blueberry', 'Raspberry', 'Cherry']"
81EG3L0c7FL,What kind of spread is it?,Fruit,"['Fruit', 'Nut', 'Vegetable', 'Honey']"
81EG3L0c7FL,What color is the spread?,Red,"['Red', 'Green', 'Yellow', 'Blue']"
81EG8kQcM9L,What shape is it?,Rectangle,"['Rectangle', 'Square', 'Circle', 'Triangle']"
81EG8kQcM9L,What hue is frame?,Black,"['Black', 'White', 'Gray', 'Brown']"
81EG8kQcM9L,What kind item?,Frame,"['Frame', 'Painting', 'Photo', 'Poster']"
81EGGDtCsmL,What color is the gem?,Blue,"['Blue', 'Red', 'Green', 'Yellow']"
81EGGDtCsmL,How many individual items are there?,Two,"['Two', 'One', 'Three', 'Four']"
81EGGDtCsmL,What item is shown?,Earrings,"['Earrings', 'Ring', 'Necklace', 'Bracelet']"
